search_name,cleaned_province
องค์การบริหารส่วนตำบลหนองคัน,เลย
องค์การบริหารส่วนตำบลทรัพย์ไพวัลย์,เลย
องค์การบริหารส่วนตำบลเขาหลวง,เลย
องค์การบริหารส่วนตำบลโคกงาม,เลย
องค์การบริหารส่วนตำบลท่าสะอาด,เลย
เทศบาลตำบลเขาแก้ว,เลย
องค์การบริหารส่วนตำบลโคกใหญ่,เลย
องค์การบริหารส่วนตำบลนาแขม,เลย
องค์การบริหารส่วนตำบลอาฮี,เลย
องค์การบริหารส่วนตำบลโคกขมิ้น,เลย
เทศบาลตำบลนาโป่ง,เลย
องค์การบริหารส่วนตำบลผาบิ้ง,เลย
องค์การบริหารส่วนตำบลโนนป่าซาง,เลย
เทศบาลตำบลเชียงกลม,เลย
องค์การบริหารส่วนตำบลห้วยสีเสียด,เลย
องค์การบริหารส่วนตำบลหนองหญ้าปล้อง,เลย
องค์การบริหารส่วนตำบลหาดทรายขาว,เลย
องค์การบริหารส่วนตำบลเมือง,เลย
องค์การบริหารส่วนตำบลน้ำหมาน,เลย
องค์การบริหารส่วนตำบลสานตม,เลย
องค์การบริหารส่วนตำบลโป่ง,เลย
องค์การบริหารส่วนตำบลบ้านเพิ่ม,เลย
องค์การบริหารส่วนตำบลปวนพุ,เลย
องค์การบริหารส่วนตำบลหนองหิน,เลย
องค์การบริหารส่วนตำบลเลยวังไสย์,เลย
องค์การบริหารส่วนตำบลภูกระดึง,เลย
องค์การบริหารส่วนตำบลปลาบ่า,เลย
เทศบาลตำบลภูเรือ,เลย
องค์การบริหารส่วนตำบลห้วยบ่อซืน,เลย
องค์การบริหารส่วนตำบลภูหอ,เลย
องค์การบริหารส่วนตำบลนามาลา,เลย
องค์การบริหารส่วนตำบลน้ำสวย,เลย
เทศบาลตำบลน้ำสวย,เลย
องค์การบริหารส่วนตำบลกกทอง,เลย
องค์การบริหารส่วนตำบลตาดข่า,เลย
องค์การบริหารส่วนตำบลน้ำแคม,เลย
องค์การบริหารส่วนตำบลนาด้วง,เลย
เทศบาลตำบลนาดินดำ,เลย
เทศบาลตำบลนาแห้ว,เลย
องค์การบริหารส่วนตำบลนาซ่าว,เลย
เทศบาลตำบลนาอาน,เลย
องค์การบริหารส่วนตำบลปากหมัน,เลย
เทศบาลตำบลด่านซ้าย,เลย
เทศบาลตำบลเชียงคาน,เลย
เทศบาลตำบลปากปวน,เลย
เทศบาลตำบลนาอ้อ,เลย
เทศบาลตำบลธาตุ,เลย
องค์การบริหารส่วนตำบลแก่งศรีภูมิ,เลย
องค์การบริหารส่วนตำบลท่าศาลา,เลย
เทศบาลเมืองเลย,เลย
องค์การบริหารส่วนตำบลวังสะพุง,เลย
เทศบาลตำบลคอนสา,เลย
องค์การบริหารส่วนตำบลท่าลี่,เลย
องค์การบริหารส่วนตำบลปากชม,เลย
องค์การบริหารส่วนตำบลเชียงคาน,เลย
เทศบาลตำบลโนนปอแดง,เลย
องค์การบริหารส่วนตำบลปากตม,เลย
เทศบาลตำบลท่าลี่,เลย
เทศบาลตำบลเอราวัณ,เลย
เทศบาลตำบลผาอินทร์แปลง,เลย
องค์การบริหารส่วนตำบลหนองงิ้ว,เลย
องค์การบริหารส่วนตำบลวังยาว,เลย
องค์การบริหารส่วนตำบลลาดค่าง,เลย
องค์การบริหารส่วนตำบลจอมศรี,เลย
องค์การบริหารส่วนตำบลนาหอ,เลย
องค์การบริหารส่วนตำบลชัยพฤกษ์,เลย
องค์การบริหารส่วนตำบลเหล่ากอหก,เลย
องค์การบริหารส่วนตำบลหนองบัว,เลย
องค์การบริหารส่วนตำบลกกดู่,เลย
องค์การบริหารส่วนตำบลห้วยส้ม,เลย
องค์การบริหารส่วนตำบลแสงภา,เลย
องค์การบริหารส่วนตำบลทรายขาว,เลย
องค์การบริหารส่วนตำบลห้วยพิชัย,เลย
องค์การบริหารส่วนตำบลผาสามยอด,เลย
องค์การบริหารส่วนตำบลชมเจริญ,เลย
องค์การบริหารส่วนจังหวัดเลย,เลย
องค์การบริหารส่วนตำบลเสี้ยว,เลย
องค์การบริหารส่วนตำบลหาดคัมภีร์,เลย
เทศบาลตำบลศรีสงคราม,เลย
เทศบาลเมืองวังสะพุง,เลย
องค์การบริหารส่วนตำบลกันจุ,เพชรบูรณ์
องค์การบริหารส่วนตำบลวังกวาง,เพชรบูรณ์
องค์การบริหารส่วนตำบลน้ำหนาว,เพชรบูรณ์
องค์การบริหารส่วนตำบลนาซำ,เพชรบูรณ์
เทศบาลตำบลบ้านโภชน์,เพชรบูรณ์
องค์การบริหารส่วนตำบลท้ายดง,เพชรบูรณ์
องค์การบริหารส่วนตำบลบึงกระจับ,เพชรบูรณ์
องค์การบริหารส่วนตำบลโคกมน,เพชรบูรณ์
เทศบาลตำบลตาลเดี่ยว,เพชรบูรณ์
เทศบาลตำบลชนแดน,เพชรบูรณ์
องค์การบริหารส่วนตำบลนาป่า,เพชรบูรณ์
องค์การบริหารส่วนตำบลวัดป่า,เพชรบูรณ์
องค์การบริหารส่วนตำบลท่าโรง,เพชรบูรณ์
องค์การบริหารส่วนตำบลช้างตะลูด,เพชรบูรณ์
เทศบาลตำบลศาลาลาย,เพชรบูรณ์
องค์การบริหารส่วนตำบลนาเกาะ,เพชรบูรณ์
องค์การบริหารส่วนตำบลสระประดู่,เพชรบูรณ์
